dataset_name,dataset,experiment,sample_size,seed,selected_lambda,Accuracy,Precision,Recall,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,FN,FP,Business Cost,dataset_label,model,risk_model,qsvc_shape,lambda_transform,lambda,C,effective_lambda,inner_validation_f1,test_f1,test_precision,test_recall,test_specificity,test_balanced_accuracy,test_roc_auc,test_pr_auc,business_cost,lambda_selection_note,display_name,subset_strategy,feature_map,reps,entanglement,runtime_seconds,TN,TP,baseline_cost,cost_reduction_pct
german_numeric,german_numeric,feature_specific,full,40,0.25,0.595,0.4146341463414634,0.85,0.4857142857142857,0.5573770491803278,0.6678571428571428,0.6569047619047619,0.3909126357628076,9.0,72.0,117.0,German Numeric Full,Feature-specific,logistic_regression,zz_reps1_full_C0.1500,identity,0.25,0.15,0.25,0.5751633986928104,0.5573770491803278,0.4146341463414634,0.85,0.4857142857142857,0.6678571428571428,0.6569047619047619,0.3909126357628076,117.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
german_numeric,german_numeric,feature_specific,full,50,0.7,0.705,0.5076923076923077,0.55,0.7714285714285715,0.528,0.6607142857142858,0.7288095238095238,0.4651972254083526,27.0,32.0,167.0,German Numeric Full,Feature-specific,logistic_regression,zz_reps1_full_C0.5000,identity,0.7,0.5,0.7,0.6019417475728155,0.528,0.5076923076923077,0.55,0.7714285714285715,0.6607142857142858,0.7288095238095238,0.4651972254083526,167.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,baseline,full,10,0.0,0.72,0.5333333333333333,0.5333333333333333,0.8,0.5333333333333333,0.6666666666666667,0.704642857142857,0.5555929570894781,28.0,28.0,168.0,South German Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
south_german,south_german,baseline,full,20,0.0,0.735,0.5432098765432098,0.7333333333333333,0.7357142857142858,0.624113475177305,0.7345238095238096,0.7755952380952381,0.6334244477663287,16.0,37.0,117.0,South German Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
south_german,south_german,baseline,full,30,0.0,0.65,0.4404761904761904,0.6166666666666667,0.6642857142857143,0.5138888888888888,0.6404761904761904,0.7278571428571429,0.5789144616719143,23.0,47.0,162.0,South German Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
south_german,south_german,baseline,full,40,0.0,0.645,0.417910447761194,0.4666666666666667,0.7214285714285714,0.4409448818897638,0.594047619047619,0.6889285714285713,0.4662604825944959,32.0,39.0,199.0,South German Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
south_german,south_german,baseline,full,50,0.0,0.645,0.4285714285714285,0.55,0.6857142857142857,0.4817518248175182,0.6178571428571429,0.6896428571428571,0.5384241964174256,27.0,44.0,179.0,South German Full,Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
south_german,south_german,convex,full,10,0.4,0.72,0.532258064516129,0.55,0.7928571428571428,0.5409836065573771,0.6714285714285715,0.7241666666666667,0.5692593382540236,27.0,29.0,164.0,South German Full,Convex,logistic_regression,zz_reps1_full_C0.5000,identity,0.4,0.5,0.4,0.5871559633027523,0.5409836065573771,0.532258064516129,0.55,0.7928571428571428,0.6714285714285715,0.7241666666666667,0.5692593382540236,164.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,convex,full,20,0.95,0.705,0.5052631578947369,0.8,0.6642857142857143,0.6193548387096774,0.7321428571428572,0.8108333333333333,0.6880425172115078,12.0,47.0,107.0,South German Full,Convex,logistic_regression,zz_reps1_full_C0.3000,identity,0.95,0.3,0.95,0.5,0.6193548387096774,0.5052631578947369,0.8,0.6642857142857143,0.7321428571428572,0.8108333333333333,0.6880425172115078,107.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,convex,full,30,0.55,0.655,0.4516129032258064,0.7,0.6357142857142857,0.5490196078431373,0.6678571428571428,0.7379761904761905,0.582792610418464,18.0,51.0,141.0,South German Full,Convex,logistic_regression,zz_reps1_full_C0.3000,identity,0.55,0.3,0.55,0.5606060606060606,0.5490196078431373,0.4516129032258064,0.7,0.6357142857142857,0.6678571428571428,0.7379761904761905,0.582792610418464,141.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,convex,full,40,0.85,0.59,0.4067796610169492,0.8,0.5,0.5393258426966292,0.65,0.7102380952380952,0.459197015764817,12.0,70.0,130.0,South German Full,Convex,logistic_regression,zz_reps1_full_C0.2000,identity,0.85,0.2,0.85,0.6165413533834586,0.5393258426966292,0.4067796610169492,0.8,0.5,0.65,0.7102380952380952,0.459197015764817,130.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,convex,full,50,0.05,0.64,0.4230769230769231,0.55,0.6785714285714286,0.4782608695652174,0.6142857142857143,0.6846428571428571,0.5328351693022003,27.0,45.0,180.0,South German Full,Convex,logistic_regression,zz_reps1_full_C0.5000,identity,0.05,0.5,0.05,0.5420560747663551,0.4782608695652174,0.4230769230769231,0.55,0.6785714285714286,0.6142857142857143,0.6846428571428571,0.5328351693022003,180.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,feature_specific,full,10,0.65,0.715,0.5238095238095238,0.55,0.7857142857142857,0.5365853658536586,0.6678571428571429,0.7169047619047618,0.5683697568069898,27.0,30.0,165.0,South German Full,Feature-specific,logistic_regression,zz_reps1_full_C0.5000,identity,0.65,0.5,0.65,0.5555555555555556,0.5365853658536586,0.5238095238095238,0.55,0.7857142857142857,0.6678571428571429,0.7169047619047618,0.5683697568069898,165.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,feature_specific,full,20,0.9,0.74,0.5476190476190477,0.7666666666666667,0.7285714285714285,0.6388888888888888,0.7476190476190476,0.7876190476190476,0.6413877216840441,14.0,38.0,108.0,South German Full,Feature-specific,logistic_regression,zz_reps1_full_C0.3000,identity,0.9,0.3,0.9,0.4684684684684684,0.6388888888888888,0.5476190476190477,0.7666666666666667,0.7285714285714285,0.7476190476190476,0.7876190476190476,0.6413877216840441,108.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,feature_specific,full,30,0.95,0.65,0.4489795918367347,0.7333333333333333,0.6142857142857143,0.5569620253164557,0.6738095238095239,0.7255952380952381,0.5767527917794459,16.0,54.0,134.0,South German Full,Feature-specific,logistic_regression,zz_reps1_full_C0.2000,identity,0.95,0.2,0.95,0.5263157894736842,0.5569620253164557,0.4489795918367347,0.7333333333333333,0.6142857142857143,0.6738095238095239,0.7255952380952381,0.5767527917794459,134.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,feature_specific,full,40,0.95,0.62,0.4069767441860465,0.5833333333333334,0.6357142857142857,0.4794520547945205,0.6095238095238096,0.6961904761904762,0.4659344755027907,25.0,51.0,176.0,South German Full,Feature-specific,logistic_regression,zz_reps1_full_C0.2000,identity,0.95,0.2,0.95,0.5393258426966292,0.4794520547945205,0.4069767441860465,0.5833333333333334,0.6357142857142857,0.6095238095238096,0.6961904761904762,0.4659344755027907,176.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
south_german,south_german,feature_specific,full,50,0.2,0.64,0.4230769230769231,0.55,0.6785714285714286,0.4782608695652174,0.6142857142857143,0.6863095238095238,0.5344921052492033,27.0,45.0,180.0,South German Full,Feature-specific,logistic_regression,zz_reps1_full_C0.5000,identity,0.2,0.5,0.2,0.5471698113207547,0.4782608695652174,0.4230769230769231,0.55,0.6785714285714286,0.6142857142857143,0.6863095238095238,0.5344921052492033,180.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
taiwan,taiwan,baseline,10000,10,0.0,0.8165,0.5742574257425742,0.6561085972850679,0.862002567394095,0.6124604012671595,0.7590555823395815,0.8229921177516133,0.5685717266485555,152.0,215.0,975.0,"Taiwan 10,000 Subset",Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
taiwan,taiwan,baseline,10000,20,0.0,0.8075,0.555992141453831,0.6402714932126696,0.8549422336328626,0.5951629863301787,0.7476068634227662,0.8067063005709838,0.5502431117017282,159.0,226.0,1021.0,"Taiwan 10,000 Subset",Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
taiwan,taiwan,baseline,10000,30,0.0,0.8145,0.5630550621669627,0.7171945701357466,0.8421052631578947,0.6308457711442786,0.7796499166468207,0.8335129153863579,0.5759215824528147,125.0,246.0,871.0,"Taiwan 10,000 Subset",Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
taiwan,taiwan,baseline,10000,40,0.0,0.8085,0.5568400770712909,0.6538461538461539,0.8523748395378691,0.6014568158168574,0.7531104966920115,0.8199731062564258,0.5801385877115057,153.0,230.0,995.0,"Taiwan 10,000 Subset",Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
taiwan,taiwan,baseline,10000,50,0.0,0.798,0.5347985347985348,0.6606334841628959,0.8369704749679076,0.5910931174089069,0.7488019795654017,0.8107839264865618,0.5578232031436886,150.0,254.0,1004.0,"Taiwan 10,000 Subset",Baseline QSVC,,,,,,,,,,,,,,,,,,,,,,,,,,
taiwan,taiwan,convex,10000,10,0.8,0.822,0.5866935483870968,0.6583710407239819,0.868421052631579,0.6204690831556503,0.7633960466777805,0.8164342264999216,0.5740969189885154,151.0,205.0,960.0,"Taiwan 10,000 Subset",Convex,logistic_regression,zz_reps1_full_C0.7500,identity,0.8,0.75,0.8,0.614596670934699,0.6204690831556503,0.5866935483870968,0.6583710407239819,0.868421052631579,0.7633960466777805,0.8164342264999216,0.5740969189885154,960.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
taiwan,taiwan,convex,10000,20,1.0,0.8065,0.5542406311637081,0.6357466063348416,0.8549422336328626,0.5922023182297155,0.7453444199838521,0.8015744166729593,0.5208670781090028,161.0,226.0,1031.0,"Taiwan 10,000 Subset",Convex,logistic_regression,zz_reps1_full_C0.1500,identity,1.0,0.15,1.0,0.6120805369127517,0.5922023182297155,0.5542406311637081,0.6357466063348416,0.8549422336328626,0.7453444199838521,0.8015744166729593,0.5208670781090028,1031.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
taiwan,taiwan,convex,10000,30,1.0,0.824,0.5845864661654135,0.7036199095022625,0.8581514762516046,0.6386036960985626,0.7808856928769335,0.8286366091810478,0.5816209359418756,131.0,221.0,876.0,"Taiwan 10,000 Subset",Convex,logistic_regression,zz_reps1_full_C0.7500,identity,1.0,0.75,1.0,0.6718954248366014,0.6386036960985626,0.5845864661654135,0.7036199095022625,0.8581514762516046,0.7808856928769335,0.8286366091810478,0.5816209359418756,876.0,Lambda was selected using inner validation within the training set. The held-out test set was used only once for final evaluation and was not involved in lambda selection.,,,,,,,,,,
