dataset,dataset_label,experiment,model,candidate_set,selection_criterion,n_seeds,seeds,selected_lambda_values,selected_C_values,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Balanced Accuracy_mean,Balanced Accuracy_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,FN_mean,FN_std,FP_mean,FP_std,Business Cost_mean,Business Cost_std
german_numeric,German Numeric Full,convex,Convex,all,validation_f1,5,"10, 20, 30, 40, 50","0.65, 0.45, 0.50, 0.50, 0.80","0.5, 0.3, 1, 0.3, 0.1",0.6389999999999999,0.0490407993409569,0.5227587118763589,0.04727928349173679,0.4427622075939592,0.03981598337855249,0.6733333333333333,0.16691647944739044,0.6242857142857142,0.13425911590682263,0.6488095238095238,0.028892050236932375,0.708452380952381,0.03818135727136872,0.48216474980928903,0.060763196842044204,19.6,10.014988766843425,52.6,18.796276226955168,150.6,32.76888768328886
german_numeric,German Numeric Full,convex,Convex,all,validation_business_cost,5,"10, 20, 30, 40, 50","1.00, 0.45, 0.50, 0.50, 1.00","0.5, 0.3, 1, 0.3, 0.1",0.6299999999999999,0.06547900426854394,0.5220646847546805,0.04730744595501571,0.4389394663307707,0.04812012342583033,0.6866666666666666,0.17849680980653718,0.6057142857142856,0.1618136998816471,0.6461904761904762,0.030460840628442672,0.709452380952381,0.03884133592472373,0.4839911443210834,0.061636946606713164,18.8,10.709808588392232,55.2,22.653917983430592,149.2,33.146643872343994
german_numeric,German Numeric Full,convex,Convex,all,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.65, 0.45, 0.50, 0.50, 0.80","0.5, 0.3, 1, 0.3, 0.1",0.6389999999999999,0.0490407993409569,0.5227587118763589,0.04727928349173679,0.4427622075939592,0.03981598337855249,0.6733333333333333,0.16691647944739044,0.6242857142857142,0.13425911590682263,0.6488095238095238,0.028892050236932375,0.708452380952381,0.03818135727136872,0.48216474980928903,0.060763196842044204,19.6,10.014988766843425,52.6,18.796276226955168,150.6,32.76888768328886
german_numeric,German Numeric Full,convex,Convex,nonzero,validation_f1,5,"10, 20, 30, 40, 50","0.65, 0.45, 0.50, 0.50, 0.80","0.5, 0.3, 1, 0.3, 0.1",0.6389999999999999,0.0490407993409569,0.5227587118763589,0.04727928349173679,0.4427622075939592,0.03981598337855249,0.6733333333333333,0.16691647944739044,0.6242857142857142,0.13425911590682263,0.6488095238095238,0.028892050236932375,0.708452380952381,0.03818135727136872,0.48216474980928903,0.060763196842044204,19.6,10.014988766843425,52.6,18.796276226955168,150.6,32.76888768328886
german_numeric,German Numeric Full,convex,Convex,nonzero,validation_business_cost,5,"10, 20, 30, 40, 50","1.00, 0.45, 0.50, 0.50, 1.00","0.5, 0.3, 1, 0.3, 0.1",0.6299999999999999,0.06547900426854394,0.5220646847546805,0.04730744595501571,0.4389394663307707,0.04812012342583033,0.6866666666666666,0.17849680980653718,0.6057142857142856,0.1618136998816471,0.6461904761904762,0.030460840628442672,0.709452380952381,0.03884133592472373,0.4839911443210834,0.061636946606713164,18.8,10.709808588392232,55.2,22.653917983430592,149.2,33.146643872343994
german_numeric,German Numeric Full,convex,Convex,nonzero,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.65, 0.45, 0.50, 0.50, 0.80","0.5, 0.3, 1, 0.3, 0.1",0.6389999999999999,0.0490407993409569,0.5227587118763589,0.04727928349173679,0.4427622075939592,0.03981598337855249,0.6733333333333333,0.16691647944739044,0.6242857142857142,0.13425911590682263,0.6488095238095238,0.028892050236932375,0.708452380952381,0.03818135727136872,0.48216474980928903,0.060763196842044204,19.6,10.014988766843425,52.6,18.796276226955168,150.6,32.76888768328886
german_numeric,German Numeric Full,feature_specific,Feature-specific,all,validation_f1,5,"10, 20, 30, 40, 50","0.80, 1.00, 0.00, 0.25, 0.70","0.3, 0.2, 0.5, 0.15, 0.5",0.633,0.06524952107103928,0.5303073786469817,0.02193309399350167,0.44162768396914737,0.0490175468283835,0.6933333333333334,0.13824294235551812,0.6071428571428571,0.14837555769886424,0.6502380952380953,0.02145170708734976,0.7073809523809523,0.031854193222405416,0.46406395391294525,0.06102065152147038,18.4,8.294576541331088,55.0,20.77257807784099,147.0,22.39419567655869
german_numeric,German Numeric Full,feature_specific,Feature-specific,all,validation_business_cost,5,"10, 20, 30, 40, 50","0.80, 1.00, 0.00, 0.25, 0.70","0.3, 0.2, 0.5, 0.15, 0.5",0.633,0.06524952107103928,0.5303073786469817,0.02193309399350167,0.44162768396914737,0.0490175468283835,0.6933333333333334,0.13824294235551812,0.6071428571428571,0.14837555769886424,0.6502380952380953,0.02145170708734976,0.7073809523809523,0.031854193222405416,0.46406395391294525,0.06102065152147038,18.4,8.294576541331088,55.0,20.77257807784099,147.0,22.39419567655869
german_numeric,German Numeric Full,feature_specific,Feature-specific,all,validation_balanced_accuracy,5,"10, 20, 30, 40, 50","0.80, 1.00, 0.00, 0.25, 0.70","0.3, 0.2, 0.5, 0.15, 0.5",0.633,0.06524952107103928,0.5303073786469817,0.02193309399350167,0.44162768396914737,0.0490175468283835,0.6933333333333334,0.13824294235551812,0.6071428571428571,0.14837555769886424,0.6502380952380953,0.02145170708734976,0.7073809523809523,0.031854193222405416,0.46406395391294525,0.06102065152147038,18.4,8.294576541331088,55.0,20.77257807784099,147.0,22.39419567655869
german_numeric,German Numeric Full,feature_specific,Feature-specific,nonzero,validation_f1,5,"10, 20, 30, 40, 50","0.80, 1.00, 0.05, 0.25, 0.70","0.3, 0.2, 0.5, 0.15, 0.5",0.635,0.06661456297237113,0.5346761269573359,0.016909421079083307,0.4444675108089742,0.050260800059080006,0.7,0.1312334645668635,0.6071428571428571,0.14837555769886424,0.6535714285714287,0.020115172915137865,0.7076904761904761,0.03170374664011191,0.46439673199765535,0.060696707885315115,18.0,7.874007874011811,55.0,20.77257807784099,145.0,20.03746490951388
