dataset,dataset_label,seed,experiment,model,candidate_set,selection_criterion,selected_lambda,selected_C,feature_map,reps,entanglement,validation_F1,validation_Balanced Accuracy,validation_Business Cost,validation_FN,validation_FP,runtime_seconds,validation_source_path,Accuracy,Precision,Recall,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,TN,FP,FN,TP,Business Cost
german_numeric,German Numeric Full,20,convex,Convex,all,validation_business_cost,0.45,0.3,zz,1,full,0.5454545454545454,0.65625,101.0,9.0,56.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed20.csv,0.63,0.43636363636363634,0.8,0.5571428571428572,0.5647058823529412,0.6785714285714286,0.7440476190476191,0.5344616573629722,78,62,12,48,122.0
german_numeric,German Numeric Full,20,convex,Convex,all,validation_balanced_accuracy,0.45,0.3,zz,1,full,0.5454545454545454,0.65625,101.0,9.0,56.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed20.csv,0.63,0.43636363636363634,0.8,0.5571428571428572,0.5647058823529412,0.6785714285714286,0.7440476190476191,0.5344616573629722,78,62,12,48,122.0
german_numeric,German Numeric Full,20,convex,Convex,nonzero,validation_f1,0.45,0.3,zz,1,full,0.5454545454545454,0.65625,101.0,9.0,56.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed20.csv,0.63,0.43636363636363634,0.8,0.5571428571428572,0.5647058823529412,0.6785714285714286,0.7440476190476191,0.5344616573629722,78,62,12,48,122.0
german_numeric,German Numeric Full,20,convex,Convex,nonzero,validation_business_cost,0.45,0.3,zz,1,full,0.5454545454545454,0.65625,101.0,9.0,56.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed20.csv,0.63,0.43636363636363634,0.8,0.5571428571428572,0.5647058823529412,0.6785714285714286,0.7440476190476191,0.5344616573629722,78,62,12,48,122.0
german_numeric,German Numeric Full,20,convex,Convex,nonzero,validation_balanced_accuracy,0.45,0.3,zz,1,full,0.5454545454545454,0.65625,101.0,9.0,56.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed20.csv,0.63,0.43636363636363634,0.8,0.5571428571428572,0.5647058823529412,0.6785714285714286,0.7440476190476191,0.5344616573629722,78,62,12,48,122.0
german_numeric,German Numeric Full,20,feature_specific,Feature-specific,all,validation_f1,1.0,0.2,zz,1,full,0.5542168674698795,0.6577380952380952,82.0,2.0,72.0,1.048,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed20.csv,0.54,0.3769230769230769,0.8166666666666667,0.42142857142857143,0.5157894736842106,0.6190476190476191,0.7279761904761903,0.5207449863170066,59,81,11,49,136.0
german_numeric,German Numeric Full,20,feature_specific,Feature-specific,all,validation_business_cost,1.0,0.2,zz,1,full,0.5542168674698795,0.6577380952380952,82.0,2.0,72.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed20.csv,0.54,0.3769230769230769,0.8166666666666667,0.42142857142857143,0.5157894736842106,0.6190476190476191,0.7279761904761903,0.5207449863170066,59,81,11,49,136.0
german_numeric,German Numeric Full,20,feature_specific,Feature-specific,all,validation_balanced_accuracy,1.0,0.2,zz,1,full,0.5542168674698795,0.6577380952380952,82.0,2.0,72.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed20.csv,0.54,0.3769230769230769,0.8166666666666667,0.42142857142857143,0.5157894736842106,0.6190476190476191,0.7279761904761903,0.5207449863170066,59,81,11,49,136.0
german_numeric,German Numeric Full,20,feature_specific,Feature-specific,nonzero,validation_f1,1.0,0.2,zz,1,full,0.5542168674698795,0.6577380952380952,82.0,2.0,72.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed20.csv,0.54,0.3769230769230769,0.8166666666666667,0.42142857142857143,0.5157894736842106,0.6190476190476191,0.7279761904761903,0.5207449863170066,59,81,11,49,136.0
german_numeric,German Numeric Full,20,feature_specific,Feature-specific,nonzero,validation_business_cost,1.0,0.2,zz,1,full,0.5542168674698795,0.6577380952380952,82.0,2.0,72.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed20.csv,0.54,0.3769230769230769,0.8166666666666667,0.42142857142857143,0.5157894736842106,0.6190476190476191,0.7279761904761903,0.5207449863170066,59,81,11,49,136.0
